city,name,state,country,address,index
Rochester,Washington Square Park,NY,US,,564
Rochester,Federal Building and ICE Office,NY,US,,565
Rockford,City Hall,IL,US,,566
Rock Hill,outside U.S. Sen. Lindsey Graham's Rock Hill office,SC,US,,567
Rockville Centre,,NY,US,,568
Roseburg,Garden Valley Blvd,OR,US,,569
Rosewell,,NM,US,,570
Rouses Point,U.S. Customs and Border Protection Rouses Point,NY,US,,571
Rutherford,Rutherford Congregational Church,NJ,US,,572
Rutland,Main Street Park,VT,US,,573
Sacramento,US Citizenship and Immigration Services,CA,US,,574
Saint Augustine,Plaza de la Constitución,FL,US,,575
Saint Charles,Randall & 64,IL,US,,576
Saint George,St. George Blvd,UT,US,,577
Saint Joseph,On the bluff in downtown St. Joseph,MI,US,,578
Saint Joseph,francis street united methodist church,MO,US,,579
Saint Louis,Kiener Plaza East,MO,US,,580
Salem,Oregon State Capitol,OR,US,,581
Salida,Centennial Park - Hwy 50 at Holman,CO,US,,582
Salisbury,,MD,US,,583
Salisbury,Kelsey Scott Park,NC,US,,584
Salt Lake City,Utah State Capitol,UT,US,,585
San Antonio,San Fernando Cathedral,TX,US,,586
San Bernardino,655 W Rialto Ave; outside Homeland Security office,CA,US,,587
San Diego,Waterfront Park,CA,US,,588
San Francisco,Civic Center Plaza,CA,US,,589
San Jose,San Jose City Hall,CA,US,,590
San Leandro,San Leandro City Hall,CA,US,,591
San Luis,Friendship Park,AZ,US,,592
San Luis Obispo,SLO County Courthouse,CA,US,,593
San Mateo,,CA,US,,594
Sandpoint,Bonner County Courthouse on First Avenue,ID,US,,595
Sandwich,SandwichFest,MA,US,,596
Santa Barbara,De La Guerra Plaza,CA,US,,597
Santa Clarita,city hall,CA,US,,598
Santa Cruz,Santa Cruz City Hall 809 Center St. and Abbott Square 118 Copper St.,CA,US,,599
Santa Fe,Railyard Park,NM,US,,600
Santa Maria,ICE facility,CA,US,,601
Santa Rosa,"Courthouse Square, Downtown Santa Rosa",CA,US,,602
Saranac Lake,Riverside Park,NY,US,,603
Sarasota,Five Points Park,FL,US,,604
Saratoga Springs,Congress Park,NY,US,,605
Sault Ste Marie,the eagle statue near Superior Coffee,MI,US,,606
Savannah,Johnson Square to City Hall,GA,US,,607
Scottsbluff,Deb Fischer's Office,NE,US,,608
Scranton,Lackawanna County Courthouse Square,PA,US,,609
Seattle,SeaTac Detention Center,WA,US,,610
Sebastian,Riverview Park,FL,US,,611
Sebastopol,Sebastopol Plaza,CA,US,,612
Sebring,Sebring High School,FL,US,,613
Sharon,Post Office Square,MA,US,,614
Sherman,Grayson County Courthouse Lawn,TX,US,,615
Sherwood,Hopkins Elementary School,OR,US,,616
Shorewood,,WI,US,,617
Shreveport,Caddo Parish Courthouse,LA,US,,618
Silver CIty,,NM,US,,619
Sioux City,Long Lines Family Recreation Center,IA,US,,620
Sioux Falls ,Sidewalks in front of KELO TV station; Fawick Park,SD,US,,621
Sitka,Crescent Harbor Shelter and the streets of Sitka,AK,US,,622
Smyrna,,TN,US,,623
Socorro,Socorro Historic Plaza,NM,US,,624
Solvang,SOLVANG PARK,CA,US,,625
Sonoma,Sonoma Plaza,CA,US,,626
Sonora,Southeast Corner of Mono and Greenley Rd. Intersection,CA,US,,627
South Bend,Marycrest Building,IN,US,,628
Southbury,Playhouse Corner,CT,US,,629
Southport,Waterfront Park,NC,US,,630
Spokane,Grant Park,WA,US,,631
Spring Hill,Spring Hill waterfall,FL,US,,632
Springfield,Old State Capitol,IL,US,,633
Springfield,Court Square,MA,US,,634
Springfield,,MO,US,,635
St George,downtown,UT,US,,636
Stamford,Stamford Government Center,CT,US,,637
Starkville,Walking Bridge on University Drive to City Hall,MS,US,,638
State College,Allen Street Gates,PA,US,,639
Staten Island,Borough Hall,NY,US,,640
Statesville,Mitchell College,NC,US,,641
Staunton,Gypsy Hill Park,VA,US,,642
Steamboat Springs,Routt County Courthouse Sidewalk,CO,US,,643
Stevens Point,Division Str,WI,US,,644
Stevenson Ranch,Richard Rioux Park,CA,US,,645
Stockton,MLK Plaza,CA,US,,646
Stratford,Town Hall,CT,US,,647
Swarthmore,Swarthmore Town Center,PA,US,,648
Sycamore,DeKalb County Courthouse,IL,US,,649
Syracuse,Perseverance Park,NY,US,,650
Tacoma,Wright Park,WA,US,,651
Tahlequah,Cherokee County,OK,US,,652
Tallahassee,Florida Capitol Building,FL,US,,653
Tampa,Joe Chillura Courthouse Square,FL,US,,654
Telluride,Wilkinson Public Library Terrace Patio,CO,US,,655
Temecula,Duck Pond,CA,US,,656
Terre Haute,VIgo County Courthouse of the Prosecuting Attorney,IN,US,,657
The Dalles,Federal Post Office Sidewalk,OR,US,,658
The Villages,Lake Sumter Landing Town Square,FL,US,,659
Tierra Amarilla,,NM,US,,660
Toledo,Love Wall,OH,US,,661
Toms River,Ocean County Library,NJ,US,,662
Topeka,State Capitol,KS,US,,663
Tracy,E Eaton Ave,CA,US,,664
Traverse City,Traverse City Courthouse,MI,US,,665
Tri-Cities,,WA,US,,666
Troy,Gateway Park,MI,US,,667
Troy,Lincoln County Sheriff's Department-ICE Detention Center,MO,US,,668
Truckee,Out front of Old Jail,CA,US,,669
Truth or Consequences,Ralph Edwards Park,NM,US,,670
Tulsa,David L Moss Detention Center,OK,US,,671
Tupelo,Fairpark,MS,US,,672
Twin Falls,Twin Falls Visitor Center,ID,US,,673
Ukiah,"Meet at Pear Tree Shopping Center, Perkins west of Orchard",CA,US,,674
Ullin,Tri-County Detention Center,IL,US,,675
University Park,University Park Town Field,MD,US,,676
Vacaville,Vacaville Town Square,CA,US,,677
Valdez,Outside A Rogue’s Garden,AK,US,,678
Valdosta,Lowndes County Courthouse,GA,US,,679
Valencia,Corner of McBean Pkwy and Valencia Blvd,CA,US,,680
Vallejo,Unity Plaza,CA,US,,681
Vancouver,"March from 750 Anderson to Esther Short Park , Bell Tower community Square, West Sixth St and Columbia",WA,US,,682
Ventura,Ventura County Government Center,CA,US,,683
Vermillion,,SD,US,,684
Victorville,outside Federal Prison,CA,US,,685
Vinalhaven,Vinalhaven Flea Market Field,ME,US,,686
Vineyard Haven,"Five Corners, Vineyard Haven",MA,US,,687
Virginia,Corner of Highway 53 and 12th Ave,MN,US,,688
Virginia Beach,Mount Trashmore Park,VA,US,,689
Visalia,St. Paul's Episcopal Church,CA,US,,690
Waimea,,HI,US,,691
Walla Walla,First Congregational Church,WA,US,,692
Waltham,,MA,US,,693
Washington,Lafayette Square; White House,DC,US,,694
Watertown,,NY,US,,695
Watsonville,Watsonville City Plaza,CA,US,,696
Wausau,400 Block,WI,US,,697
Wellfleet,Rt 6,MA,US,,698
Wellfleet,Wellfleet Town Hall Lawn,MA,US,,699
Wenatchee,Memorial Park,WA,US,,700
West Chester,Historic West Chester Courthouse Steps,PA,US,,701
West Hartford,Farmington and Main,CT,US,,702
West Hollywood,WeHo - corner of San Vicente and Santa Monica Boulevard,CA,US,,703
West Leyden,,NY,US,,704
West Palm Beach,Mar a Lago,FL,US,,705
West Plains,People's Park - Broadway and Porter Waggoner,MO,US,,706
West Point,,CA,US,,707
West Seattle,Lincoln Park,WA,US,,708
Westborough,Westborough Rotary Club,MA,US,,709
Westbury,Post Avenue,NY,US,,710
Westlake Village,Promenade at Westlake,CA,US,,711
Westminster,Main St at Locust Lane,MD,US,,712
Wheeling,Market Plaza,WV,US,,713
White Plains,White Plains Federal Courthouse,NY,US,,714
Wichita,City Hall,KS,US,,715
Wichita Falls,Lucy Park,TX,US,,716
Wilkes Barre,Wilkes Barre Public Square,PA,US,,717
Williamstown,Field Park,MA,US,,718
Willimantic,Main St. and Jackson St.,CT,US,,719
Wilmington,Cool Springs Park,DE,US,,720
Wilmington,St. Barnabas's Church; Thalian Hall,NC,US,,721
Wilmington,,OH,US,,722
Wilton,Wilton Public Library,NH,US,,723
Winston Salem,Merschel Plaza,NC,US,,724
Wisconsin Rapids,Centralia Center across Grand Avenue bridge then over Jackson Street bridge,WI,US,,725
Woodbury,,NJ,US,,726
Woodstock,McHenry County Jail,NY,US,,727
Wooster,Downtown public square,OH,US,,728
Worcester,City Hall,MA,US,,729
Yakima,Corner of 1st St and Yakima Ave.; US Rep. Dan Newhouse’s district office,WA,US,,730
York,ICE Detention Center and Immigration Court,PA,US,,731
Youngstown,Federal Plaza,OH,US,,732
Yucca Valley,Northeast corner Hwy 62 and Hwy 247 (29 Palms Hwy at Old Woman Springs Rd),CA,US,,733
Yuma ,Rural Communities Resource Center to the Yuma City Park Picnic Pavilion,CO,US,,734
