City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Milford,PA,,,,protest,https://act.moveon.org/event/families-belong-together/,41.322316,-74.8023882,
Milltown,DE,several hundred,300,300,protest,https://www.delawareonline.com/story/news/2018/06/30/president-trumps-zero-tolerance-immigration-policies-spark-protests/745372002/,38.771284,-75.312337,300
Milwaukee,WI,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/20217/signup/?source=&s=,43.0382416,-87.9046094,2000
Mineral Point,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20580/signup/?source=&s=,42.8628009,-90.186748,
Minneapolis,MN,estimated 7000,7000,7000,protest,https://act.moveon.org/event/families-belong-together/19939/signup/?source=&s=,44.9693309,-93.2737079,7000
Minocqua,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20641/signup/?source=&s=,45.898275,-89.807081,
Missoula,MT,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/?zip=59802&source=&s=,46.8732533,-113.9959382,200
Mobile,AL,FB: 33,33,33,protest,https://act.moveon.org/event/families-belong-together/20546/signup/?source=&s=,30.674992,-88.0945542,33
Modesto,CA,FB: 600; around 800,600,800,protest,https://act.moveon.org/event/families-belong-together/20078/signup/?source=&s=,37.632056,-120.999266,700
Monterey,CA,na,34,34,protest,https://act.moveon.org/event/families-belong-together/19970/signup/?source=&s=,38.468591,-123.012548,34
Monticello,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,41.6556465,-74.6893282,
Montgomery,AL,FB: 142,142,142,protest,https://act.moveon.org/event/families-belong-together/20427/signup/?source=&s=,32.377392,-86.308827,142
Montrose,CO,FB: 35,35,35,protest,https://www.facebook.com/events/270925823645607/,38.37243,-107.8139,35
Morehead,KY,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20859/signup/?source=&s=,38.203904,-84.550416,24
Moreno Valley,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20186/signup/?source=&s=,33.94059,-117.209129,
Morgan Hill,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20070/signup/?source=&s=,37.1260476,-121.6492517,
Morganton,NC,,,,protest,https://twitter.com/familiesbelong/status/1013146466087505922,35.7454291,-81.6870837,
Mount Vernon,WA,,,,protest,https://act.moveon.org/event/families-belong-together/19966/signup/?source=&s=,48.414746,-122.328677,
Mountain View,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20128/signup/?source=&s=,37.3897137,-122.08169,
Murfreesboro,TN,over 50,50,50,protest,http://www.wsfa.com/story/38548306/families-belong-together-rallies-held-across-midstate,35.85331,-86.404489,50
Muscatine,IA,FB: 41,41,41,protest,https://act.moveon.org/event/families-belong-together/20586/signup/?source=&s=,41.435708,-91.026041,41
Muskegon,MI,FB: 82,82,82,protest,https://act.moveon.org/event/families-belong-together/20753/signup/?source=&s=,43.2337486,-86.2525849,82
Myrtle Beach,SC,,,,protest,https://act.moveon.org/event/families-belong-together/20282/signup/?source=&s=,33.691378,-78.903446,
Nacogdoches,TX,count from pic,24,24,protest,https://act.moveon.org/event/families-belong-together/20490/signup/?source=&s=,31.6081927,-94.6571994,24
Nags Head,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20854/signup/?source=&s=,35.841061,-75.56257,
Nantucket,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20645/signup/?source=&s=,41.28346,-70.09946,
Napa,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20259/signup/?source=&s=,38.2982851,-122.2843686,
Naples,FL,more than 300,300,300,protest,https://act.moveon.org/event/families-belong-together/19852/signup/?source=&s=,26.1294021,-81.7635858,300
Nashua,NH,,,,protest,https://act.moveon.org/event/families-belong-together/20104/signup/?source=&s=,42.767227,-71.469092,
Nashville,TN,more than 1000; from 1000 to 5000,1000,5000,protest,https://act.moveon.org/event/families-belong-together/20056/signup/?source=&s=,36.1498435,-86.8140736,3000
Natick,MA,over 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20182/signup/?source=&s=,42.283309,-71.3466782,300
National City,CA,,,,protest,https://timesofsandiego.com/politics/2018/06/30/children-are-crying-thousands-march-downtown-anew-against-trump-border-policies/,32.6781085,-117.0991967,
New Bedford,MA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19863/signup/?source=&s=,41.635613,-70.923566,200
New Brunswick,NJ,over 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20113/signup/?source=&s=,40.4939229,-74.4457157,500
New City,NY,upward of 400,400,400,protest,https://act.moveon.org/event/families-belong-together/?zip=10956&source=&s=,41.1469444,-73.9905556,400
New London,CT,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19871/signup/?source=&s=,41.3591916,-72.1042088,200
New Orleans,LA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19840/signup/?source=&s=,29.9612536,-90.0686153,200
New Paltz,NY,well over 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20531/signup/?source=&s=,41.749019,-74.085529,100
New Port Richey,FL,,,,protest,https://act.moveon.org/event/families-belong-together/20110/signup/?source=&s=,28.278774,-82.647562,
New Rochelle,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20531/signup/?source=&s=,40.926826,-73.805245,
New York,NY,na; over 30000,20000,30000,protest,https://nypost.com/2018/06/30/thousands-protest-trumps-immigration-policies-in-nyc/,40.71385,-74.003198,25000
New York,NY,,,,protest,https://act.moveon.org/event/families-belong-together/19833/signup/?&source=&s=,40.7750167,-111.8695173,
New York,NY,at least 1000,1000,1000,protest,https://twitter.com/RonHogan/status/1013124876083912704,40.7556561,-73.8857755,1000
Newark,NJ,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/?zip=07102&source=&s=,40.7317764,-74.1736043,2000
Newburyport,MA,at least 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20765/signup/?source=&s=,42.8125913,-70.8772751,200
Newport News,VA,,,,protest,https://act.moveon.org/event/families-belong-together/20437/signup/?source=&s=,37.0186915,-76.4429405,
Newton,NC,FB: 69,69,69,protest,https://act.moveon.org/event/families-belong-together/20314/signup/?source=&s=,32.13486,-99.74981,69
Nogales,AZ,nearly 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20408/signup/?source=&s=,31.387978,-110.912001,200
Norfolk,VA,,,,protest,https://act.moveon.org/event/families-belong-together/20174/signup/?&source=&s=,36.912397,-76.224003,
Norfolk,VA,,,,protest,https://act.moveon.org/event/families-belong-together/20395/signup/?&source=&s=,36.8715141,-76.2613113,
Norristown,PA,,,,protest,http://www.pottsmerc.com/general-news/20180630/crowds-gather-in-norristown-to-protest-separation-of-families,40.124757,-75.364455,
North Dartmouth,MA,about 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20099/signup/?source=&s=,41.647271,-70.97177,150
North Truro,MA,na,100,100,protest,https://act.moveon.org/event/families-belong-together/19868/signup/?source=&s=,42.062984,-70.146056,100
Northborough,MA,about 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20044/signup/?source=&s=,42.31895,-71.637363,150
Norwalk,OH,,,,protest,https://act.moveon.org/event/families-belong-together/20308/signup/?source=&s=,41.263221,-82.91738,
Oakland,CA,about 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/20167/signup/?source=&s=,37.804586,-122.249829,1000
Oberlin,OH,na,200,200,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,41.2939386,-82.2173786,200
Ocracoke,NC,picture ,12,12,protest,https://www.facebook.com/ocracokecurrent/photos/rpp.166826290087131/1285080388261710/?type=3&theater,35.1146152,-75.9810097,12
Ojai,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20239/signup/?source=&s=,34.4456119,-119.245329,
Oklahoma City,OK,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20255/signup/?&source=&s=,35.4922055,-97.5033333,200
Okoboji,IA,dozens; FB: 34,24,34,protest,https://act.moveon.org/event/families-belong-together/20628/signup/?source=&s=,43.364315,-95.136542,29
Olympia,WA,around 3000,3000,3000,protest,https://act.moveon.org/event/families-belong-together/19873/signup/?source=&s=,46.984767,-122.869079,3000
Omaha,NE,over 1000,1000,1000,protest,https://twitter.com/BarbInNebraska/status/1013195064670121985,41.271744,-96.100538,1000
Onalaska,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20377/signup/?source=&s=,43.77173,-91.218976,
Onancock,VA,about 60,60,60,protest,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,37.7118,-75.7491015,60
Orlando,FL,more than 100; hundreds,100,200,protest,http://www.wesh.com/article/watch-live-protesters-gather-outside-of-orlando-city-hall-for-families-belong-together-rally/22007077,28.57315,-81.377116,150
Orleans,MA,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20694/signup/?source=&s=,41.782438,-69.987601,24
Oshkosh,WI,about 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20251/signup/?source=&s=,44.07447,-88.520591,100
Oswego,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20416/signup/?source=&s=,43.456548,-76.511237,
Ottawa,IL,more than 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20766/signup/?source=&s=,41.299185,-89.065681,200
Oxford,OH,close to 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20394/signup/?source=&s=,39.507,-84.74523,200
Oxnard,CA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19957/signup/?source=&s=,34.1975,-119.17705,200
Palm Springs,CA,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/20089/signup/?source=&s=,33.8311517,-116.5462214,2000
Palmetto Bay,FL,FB: 60,60,60,protest,https://act.moveon.org/event/families-belong-together/20101/signup/?source=&s=,25.6321368,-80.3204442,60
Palo Alto,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20597/signup/?source=&s=,37.446899,-122.1266,
Panama City,FL,100 +,100,100,protest,https://act.moveon.org/event/families-belong-together/19944/signup/?source=&s=,30.248138,-85.537002,100
Paonia,CO,,,,protest,https://act.moveon.org/event/families-belong-together/20115/signup/?source=&s=,38.8683205,-107.5920018,
Paris,TX,,,,protest,https://act.moveon.org/event/families-belong-together/20611/signup/?source=&s=,29.539738,-95.799247,
Parkersburg,WV,around 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20451/signup/?source=&s=,39.26685,-81.534249,100
Pasadena,CA,about 1500,1500,1500,protest,https://act.moveon.org/event/families-belong-together/20355/signup/?source=&s=,34.1445659,-118.1181701,1500
Payson,AZ,approximately 75,75,75,protest,https://act.moveon.org/event/families-belong-together/20409/signup/?source=&s=,34.253287,-111.265357,75
Peabody,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20440/signup/?source=&s=,42.791847,-70.810619,
Pensacola,FL,FB: 62,62,62,protest,https://act.moveon.org/event/families-belong-together/19930/signup/?source=&s=,30.455824,-87.208706,62
Peterborough,NH,picture,24,36,protest,https://www.facebook.com/photo.php?fbid=10216732735493284&set=pcb.10216732737213327&type=3&theater,42.8705821,-71.9515459,30
Peoria,IL,estimates 125,125,125,protest,https://act.moveon.org/event/families-belong-together/20287/signup/?source=&s=,40.807394,-89.635959,125
Petaluma,CA,FB: 204,204,204,protest,https://act.moveon.org/event/families-belong-together/19842/signup/?source=&s=,38.230657,-122.634269,204
Petoskey,MI,at least 200; over 200,200,200,protest,https://act.moveon.org/event/families-belong-together/19860/signup/?source=&s=,45.373967,-84.954484,200
Philadelphia,PA,about 3000,3000,3000,protest,https://act.moveon.org/event/families-belong-together/19879/signup/?source=&s=,39.9524179,-75.1635905,3000
Phoenix,AZ,estimated 800; FB: 810,800,810,protest,https://act.moveon.org/event/families-belong-together/20381/signup/?source=&s=,33.447646,-112.0966147,805
Piedmont,CA,,,,protest,https://act.moveon.org/event/families-belong-together/19941/signup/?source=&s=,37.827272,-122.239911,
Pikeville,KY,,,,protest,https://twitter.com/atticascott/status/1013180842347245568,37.514701,-82.513615,
Pinedale,WY,,,,protest,https://act.moveon.org/event/families-belong-together/20459/signup/?source=&s=,41.494439,-109.45601,
Pinetop,AZ,,,,protest,https://act.moveon.org/event/families-belong-together/20631/signup/?source=&s=,34.141092,-109.954154,
Pittsboro,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20615/signup/?source=&s=,35.838884,-80.092629,
Pittsburg,CA,na,22,22,protest,https://act.moveon.org/event/families-belong-together/20133/signup/?source=&s=,38.0317011,-121.8844095,22
Pittsburgh,PA,nearly 2000,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19848/signup/?source=&s=,40.4409698,-79.9974425,2000
Pittsfield,MA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20006/signup/?source=&s=,42.4482759,-73.2532594,200
Plattsburgh,NY,about 240,240,240,protest,https://act.moveon.org/event/families-belong-together/20361/signup/?source=&s=,44.579812,-73.712076,240
Pleasanton,CA,more than 600,600,600,protest,https://act.moveon.org/event/families-belong-together/20149/signup/?source=&s=,37.6593969,-121.8744834,600
Pocatello,ID,over 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20722/signup/?source=&s=,42.8677833,-112.440547,300
Point Arena,CA,na,9,9,protest,https://act.moveon.org/event/families-belong-together/20707/signup/?source=&s=,37.373604,-120.600422,9
Pontiac,MI,at least 630,630,630,protest,https://act.moveon.org/event/families-belong-together/20095/signup/?source=&s=,42.6368785,-83.2889353,630
Poolesville,MD,FB: 23,23,23,vigil,https://act.moveon.org/event/families-belong-together/21055/signup/?source=&s=,39.1452892,-77.4116613,23
Port Angeles,WA,more than 675,400,675,protest,https://act.moveon.org/event/families-belong-together/20135/signup/?source=&s=,48.111502,-123.223208,537.5
Port Clinton,OH,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,41.5119954,-82.9376919,
Port Huron,MI,more than 100; a couple hundred,100,200,protest,https://act.moveon.org/event/families-belong-together/19865/signup/?source=&s=,42.952286,-82.434373,150
Portland,ME,about 2000,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19996/signup/?source=&s=,43.6591918,-70.2573975,2000
Portland,OR,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19867/signup/?source=&s=,45.5245824,-122.6788206,2000
Portsmouth,NH,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20229/signup/?source=&s=,43.005895,-71.013202,200
Portsmouth,OH,,,,protest,https://act.moveon.org/event/families-belong-together/20614/signup/?source=&s=,38.762892,-82.93213,
Potsdam,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20213/signup/?source=&s=,44.652618,-74.956606,
Prescott,AZ,several hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/19876/signup/?source=&s=,34.575334,-112.465433,300
Presque Isle,ME,na,12,12,protest,https://thecounty.me/2018/07/03/news/community-members-protest-u-s-immigration-policies-advocate-for-families-in-pi/,46.715072,-68.012557,12
Princeton,NJ,na,800,800,protest,https://act.moveon.org/event/families-belong-together/20516/signup/?source=&s=,40.343625,-74.693953,800
Prospect Harbor,ME,,,,protest,https://act.moveon.org/event/families-belong-together/20264/signup/?source=&s=,44.497475,-67.995237,
Providence,RI,more than 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20463/signup/?source=&s=,41.83152,-71.412804,200
Providence,RI,well over 300,300,300,protest,http://www.providencejournal.com/news/20180630/ri-joins-voices-against-separating-families,41.787746,-71.431442,300
Provincetown,MA,about 300,300,300,protest,https://act.moveon.org/event/families-belong-together/19866/signup/?source=&s=,42.058436,-70.1786375,300
Provo,UT,about 100,100,100,protest,https://www.heraldextra.com/news/local/central/provo/dozens-attend-provo-rally-protesting-family-separations-at-border/article_20805329-1dca-52fc-8ea2-e78035ed7901.html,40.228786,-111.639158,100
Pueblo,CO,FB: 37,37,37,protest,https://act.moveon.org/event/families-belong-together/19934/signup/?source=&s=,38.2766857,-104.6094294,37
Pullman,WA,na,600,600,protest,https://act.moveon.org/event/families-belong-together/20384/signup/?source=&s=,46.731007,-117.172617,600
Quincy,IL,,85,85,protest,https://act.moveon.org/event/families-belong-together/20549/signup/?source=&s=,39.9320597,-91.4082861,85
Racine,WI,,,,protest,https://act.moveon.org/event/families-belong-together/20420/signup/?source=&s=,42.727153,-87.675979,
Raleigh,NC,thousands,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19949/signup/?source=&s=,35.7743652,-78.6395267,2000
Ramona,CA,na,54,54,protest,https://timesofsandiego.com/politics/2018/06/30/children-are-crying-thousands-march-downtown-anew-against-trump-border-policies/,33.042896,-116.866997,54
Rapid City,SD,,,,protest,https://act.moveon.org/event/families-belong-together/20278/signup/?source=&s=,44.0851643,-103.2266095,
Reading,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20861/signup/?source=&s=,42.538705,-71.10313,
Red Bank,NJ,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20047/signup/?&source=&s=,40.3521412,-74.0676661,200
Red Bank,NJ,,,,protest,https://act.moveon.org/event/families-belong-together/20321/signup/?&source=&s=,40.3539368,-74.0650243,
Redding,CA,about 350,350,350,protest,https://act.moveon.org/event/families-belong-together/19837/signup/?source=&s=,40.5731502,-122.3817517,350
Redmond,OR,,,,protest,https://act.moveon.org/event/families-belong-together/19940/signup/?source=&s=,44.272898,-121.1759757,
Redondo Beach,CA,roughly 350; roughly 400,350,400,protest,https://www.dailybreeze.com/2018/06/30/redondo-beach-protesters-raise-their-voices-and-whistles-and-bullhorns-to-oppose-separating-immigrant-families/,33.865525,-118.352461,375
Redwood City,CA,estimated 3000,3000,3000,protest,https://act.moveon.org/event/families-belong-together/20483/signup/?source=&s=,37.459261,-121.903759,3000
Reno,NV,hundreds; na,200,1200,protest,https://act.moveon.org/event/families-belong-together/20211/signup/?&source=&s=,39.5261629,-119.8126529,700
Reno,NV,,,,protest,https://act.moveon.org/event/families-belong-together/20216/signup/?&source=&s=,39.516962,-119.813966,
Rhinebeck,NY,over 250,250,250,protest,https://act.moveon.org/event/families-belong-together/20380/signup/?source=&s=,41.997797,-73.876911,250
Richmond,CA,roughly 4500,4500,4500,protest,https://act.moveon.org/event/families-belong-together/20020/signup/?akid=undefined&zip=&source=,37.930146,-122.344809,4500
Richmond,IN,more than 100,100,100,protest,https://www.pal-item.com/story/news/local/2018/06/30/richmond-protest-over-u-s-immigration-policies-draws-crowd/748261002/,39.830061,-84.8959118,100
Richmond,VA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20144/signup/?source=&s=,37.5389408,-77.4326133,200
Riverside,CA,more than 1200,1200,1200,protest,https://act.moveon.org/event/families-belong-together/19937/signup/?source=&s=,33.9098266,-117.4569875,1200
Roanoke,VA,,,,protest,https://act.moveon.org/event/families-belong-together/19912/signup/?source=&s=,37.404558,-79.913377,
Rochester,MN,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20244/signup/?source=&s=,44.0225367,-92.4647602,200
Rochester,NY,approx 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20504/signup/?&source=&s=,43.1534395,-77.6053314,200
Rochester,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20505/signup/?&source=&s=,43.16276,-77.571421,
Rockford,IL,more than 950,950,950,protest,https://act.moveon.org/event/families-belong-together/20000/signup/?source=&s=,42.27113,-89.094,950
Rock Hill,SC,almost 100,100,100,protest,https://www.heraldonline.com/news/local/article214088034.html,34.92487,-81.02508,100
Rockville Centre,NY,hundreds,200,200,protest,http://www.fios1news.com/longisland/local-keeping-families-together,40.6574186,-73.6450664,200
Roseburg,OR,estimated 250,250,250,protest,https://act.moveon.org/event/families-belong-together/20206/signup/?source=&s=,43.2365408,-123.3905531,250
Rosewell,NM,FB: 22,22,22,protest,https://www.facebook.com/events/2218061871762385/,32.882559,-104.404418,22
Rouses Point,NY,more than 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20333/signup/?source=&s=,44.697724,-73.452848,50
Rutherford,NJ,picture,13,24,protest,https://act.moveon.org/event/families-belong-together/20537/signup/?source=&s=,40.8347332,-74.1115339,18.5
Rutland,VT,over 150,150,150,protest,http://www.rutlandherald.com/articles/rutland-rally-against-family-separation/,43.6067298,-72.9722049,150
Sacramento,CA,thousands; about 2000,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19881/signup/?akid=undefined&zip=&source=,38.530754,-121.483221,2000
Saint Augustine,FL,FB: 143; about 300,143,300,protest,https://act.moveon.org/event/families-belong-together/20609/signup/?source=&s=,29.8924868,-81.3121127,221.5
Saint Charles,IL,na,20,20,protest,https://act.moveon.org/event/families-belong-together/20208/signup/?source=&s=,41.936943,-88.413443,20
Saint George,UT,over 100,100,100,protest,https://www.thespectrum.com/story/news/local/2018/06/30/families-belong-together-rally-st-george/748157002/,37.109814,-113.574797,100
Saint Joseph,MI,almost 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20639/signup/?source=&s=,42.042004,-86.491748,200
Saint Joseph,MO,more than 120,120,120,protest,http://www.kq2.com/content/video/487042431.html,39.766874,-94.860134,120
Saint Louis,MO,about 1000,1000,1000,protest,https://act.moveon.org/event/families-belong-together/19956/signup/?source=&s=,38.6260962,-90.1909706,1000
Salem,OR,more than 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20552/signup/?source=&s=,44.9382921,-123.0302549,500
Salida,CO,,,,protest,https://act.moveon.org/event/families-belong-together/20442/signup/?source=&s=,38.516247,-106.065467,
Salisbury,MD,na,10,10,protest,https://act.moveon.org/event/families-belong-together/20027/signup/?source=&s=,38.3662114,-75.6008881,10
Salisbury,NC,picture,24,24,protest,https://act.moveon.org/event/families-belong-together/20027/signup/?source=&s=,35.63865,-80.417002,24
Salt Lake City,UT,~2000 plus,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19886/signup/?source=&s=,40.769348,-111.888229,2000
San Antonio,TX,between 800 and 2000,800,2000,protest,https://twitter.com/RealBlueDuran/status/1013135683588943872,29.424559,-98.4942042,1400
San Bernardino,CA,approx 450,450,450,protest,https://act.moveon.org/event/families-belong-together/20021/signup/?source=&s=,36.8025697,-119.8191059,450
San Diego,CA,hundreds; several thousand; estimated 4000,200,4000,protest,https://act.moveon.org/event/families-belong-together/19967/signup/?source=&s=,32.722338,-117.1720566,2100
San Francisco,CA,na; over 30000,20000,30000,protest,https://act.moveon.org/event/families-belong-together/19835/signup/?source=&s=,37.7794524,-122.417611,25000
San Jose,CA,thousands; about 1000,1000,2000,protest,https://act.moveon.org/event/families-belong-together/20086/signup/?source=&s=,37.3371886,-121.8864212,1500
San Leandro,CA,FB: 68,68,68,protest,https://act.moveon.org/event/families-belong-together/20147/signup/?source=&s=,37.7285406,-122.1591325,68
San Luis,AZ,,,,protest,https://act.moveon.org/event/families-belong-together/20725/signup/?source=&s=,32.486533,-114.7835327,
San Luis Obispo,CA,more than 1500,1500,1500,protest,https://act.moveon.org/event/families-belong-together/20059/signup/?source=&s=,35.254947,-120.688188,1500
San Mateo,CA,na,42,42,protest,https://www.facebook.com/yolanda.ramirezarias/videos/o.799435606920466/2157923817557991/?type=2&theater,37.496904,-122.3330573,42
Sandpoint,ID,over 125,125,125,protest,https://act.moveon.org/event/families-belong-together/20568/signup/?source=&s=,46.821754,-116.603947,125
Sandwich,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20571/signup/?source=&s=,41.769505,-70.526671,
Santa Barbara,CA,na,2000,2000,protest,https://act.moveon.org/event/families-belong-together/19975/signup/?source=&s=,34.4199433,-119.69871,2000
Santa Clarita,CA,hundreds,200,200,protest,http://www.hometownstation.com/santa-clarita-latest-news/families-belong-together-protesters-demand-immigration-policy-reform-outside-city-hall-239510,34.444817,-118.486453,200
Santa Cruz,CA,na,8000,8000,protest,https://act.moveon.org/event/families-belong-together/19951/signup/?source=&s=,36.974953,-122.026274,8000
Santa Fe,NM,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20480/signup/?source=&s=,35.689039,-105.94537,200
Santa Maria,CA,about 200; roughly 450,200,450,protest,https://www.newtimesslo.com/sanluisobispo/slo-santa-maria-join-nationwide-protests-against-trumps-immigration-policies/Content?oid=5570619,34.875832,-120.340795,325
Santa Rosa,CA,about 3000,3000,3000,protest,https://act.moveon.org/event/families-belong-together/20106/signup/?source=&s=,38.448735,-122.721653,3000
Saranac Lake,NY,,,,protest,https://act.moveon.org/event/families-belong-together/20349/signup/?source=&s=,44.3246131,-74.1311264,
Sarasota,FL,more then 600; closer to 1000,600,1000,protest,https://act.moveon.org/event/families-belong-together/19834/signup/?source=&s=,27.3368804,-82.5429362,800
Saratoga Springs,NY,,,,protest,https://act.moveon.org/event/families-belong-together/19906/signup/?source=&s=,43.0774204,-73.7843251,
Sault Ste Marie,MI,partial count from pic,46,77,protest; march,https://act.moveon.org/event/families-belong-together/20275/signup/?source=&s=,46.491209,-84.343314,61.5
Savannah,GA,hundreds,200,200,protest; march,https://act.moveon.org/event/families-belong-together/20388/signup/?&source=&s=,32.000239,-81.112723,200
Scottsbluff,NE,around 40,40,40,protest,https://act.moveon.org/event/families-belong-together/20606/signup/?source=&s=,41.922838,-103.622904,40
Scranton,PA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20347/signup/?source=&s=,41.4081055,-75.662301,200
Seattle,WA,around 10000,10000,10000,protest,https://act.moveon.org/event/families-belong-together/19992/signup/?source=&s=,47.590561,-122.313411,10000
Sebastian,FL,more than 150,150,150,protest,https://act.moveon.org/event/families-belong-together/19896/signup/?source=&s=,27.8090923,-80.4644618,150
Sebring,FL,,,,protest,https://act.moveon.org/event/families-belong-together/20329/signup/?&source=&s=,27.4872589,-81.4320179,
Sharon,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20834/signup/?source=&s=,42.12367,-71.17895,
Sherman,TX,more than 40,40,40,protest,https://act.moveon.org/event/families-belong-together/19947/signup/?source=&s=,33.705036,-96.683792,40
Sherwood,OR,na,300,400,protest,http://katu.com/news/local/hundreds-gather-for-families-belong-together-rally-in-downtown-portland,43.590673,-123.355023,350
Shorewood,WI,several hundred,300,300,protest,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,43.0883957,-87.8881302,300
Shreveport,LA,some 120,120,120,protest,https://act.moveon.org/event/families-belong-together/20701/signup/?source=&s=,32.518141,-93.74823,120
Silver CIty,NM,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,32.7725053,-108.2793701,
Sioux City,IA,FB: 117,117,117,protest,https://act.moveon.org/event/families-belong-together/20398/signup/?source=&s=,43.068661,-92.15446,117
Sitka,AK,about 150; well over 175,150,175,protest,https://act.moveon.org/event/families-belong-together/20214/signup/?source=&s=,57.049977,-135.333419,162.5
Smyrna,TN,,,,protest,https://act.moveon.org/event/families-belong-together/20570/signup/?source=&s=,35.9828413,-86.5186045,
Socorro,NM,picture partial count,26,26,protest,https://act.moveon.org/event/families-belong-together/20502/signup/?source=&s=,34.0571311,-106.8934328,26
Solvang,CA,na,150,150,protest,https://act.moveon.org/event/families-belong-together/20425/signup/?source=&s=,34.5957474,-120.1398414,150
Sonoma,CA,FB: 87,87,87,protest,https://act.moveon.org/event/families-belong-together/20023/signup/?source=&s=,38.2930428,-122.4576354,87
Sonora,CA,na,112,112,protest,https://act.moveon.org/event/families-belong-together/20730/signup/?source=&s=,37.987097,-120.369155,112
South Bend,IN,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20188/signup/?source=&s=,41.673383,-86.251654,200
Southbury,CT,a few hundred,300,300,protest,https://act.moveon.org/event/families-belong-together/20501/signup/?source=&s=,41.4781162,-73.2137002,300
Southport,NC,na,250,250,protest,https://act.moveon.org/event/families-belong-together/20221/signup/?source=&s=,33.916904,-78.0185339,250
